Entity,Code,date,cases,deaths
World,OWID_WRL,2020-01-22,0,0
World,OWID_WRL,2020-01-23,98,1
World,OWID_WRL,2020-01-24,286,8
World,OWID_WRL,2020-01-25,493,16
World,OWID_WRL,2020-01-26,684,14
World,OWID_WRL,2020-01-27,809,26
World,OWID_WRL,2020-01-28,2651,49
World,OWID_WRL,2020-01-29,589,2
World,OWID_WRL,2020-01-30,2068,38
World,OWID_WRL,2020-01-31,1692,42
World,OWID_WRL,2020-02-01,2111,46
World,OWID_WRL,2020-02-02,4749,103
World,OWID_WRL,2020-02-03,3100,64
World,OWID_WRL,2020-02-04,4011,66
World,OWID_WRL,2020-02-05,3745,72
World,OWID_WRL,2020-02-06,3162,70
World,OWID_WRL,2020-02-07,3594,85
World,OWID_WRL,2020-02-08,2731,87
World,OWID_WRL,2020-02-09,3031,100
World,OWID_WRL,2020-02-10,2608,107
World,OWID_WRL,2020-02-11,2042,100
World,OWID_WRL,2020-02-12,418,5
World,OWID_WRL,2020-02-13,15152,253
World,OWID_WRL,2020-02-14,6528,152
World,OWID_WRL,2020-02-15,2143,143
World,OWID_WRL,2020-02-16,2183,104
World,OWID_WRL,2020-02-17,2035,98
World,OWID_WRL,2020-02-18,1882,140
World,OWID_WRL,2020-02-19,500,115
World,OWID_WRL,2020-02-20,560,125
World,OWID_WRL,2020-02-21,629,4
World,OWID_WRL,2020-02-22,1761,207
World,OWID_WRL,2020-02-23,380,11
World,OWID_WRL,2020-02-24,568,160
World,OWID_WRL,2020-02-25,854,80
World,OWID_WRL,2020-02-26,977,61
World,OWID_WRL,2020-02-27,1359,43
World,OWID_WRL,2020-02-28,1388,59
World,OWID_WRL,2020-02-29,1894,70
World,OWID_WRL,2020-03-01,2378,54
World,OWID_WRL,2020-03-02,1979,89
World,OWID_WRL,2020-03-03,2601,74
World,OWID_WRL,2020-03-04,2302,95
World,OWID_WRL,2020-03-05,2818,93
World,OWID_WRL,2020-03-06,3916,113
World,OWID_WRL,2020-03-07,4097,104
World,OWID_WRL,2020-03-08,3938,240
World,OWID_WRL,2020-03-09,4179,190
World,OWID_WRL,2020-03-10,4825,276
World,OWID_WRL,2020-03-11,7662,345
World,OWID_WRL,2020-03-12,5802,309
World,OWID_WRL,2020-03-13,14356,492
World,OWID_WRL,2020-03-14,11099,421
World,OWID_WRL,2020-03-15,11277,645
World,OWID_WRL,2020-03-16,14785,692
World,OWID_WRL,2020-03-17,16003,815
World,OWID_WRL,2020-03-18,19556,917
World,OWID_WRL,2020-03-19,27108,1116
World,OWID_WRL,2020-03-20,30876,1496
World,OWID_WRL,2020-03-21,32142,1723
World,OWID_WRL,2020-03-22,35107,1685
World,OWID_WRL,2020-03-23,42661,1958
World,OWID_WRL,2020-03-24,41085,2310
World,OWID_WRL,2020-03-25,51089,2824
World,OWID_WRL,2020-03-26,62862,3040
World,OWID_WRL,2020-03-27,64910,3485
World,OWID_WRL,2020-03-28,69665,3836
World,OWID_WRL,2020-03-29,56900,3477
World,OWID_WRL,2020-03-30,65279,4081
World,OWID_WRL,2020-03-31,76819,4732
World,OWID_WRL,2020-04-01,83000,6014
World,OWID_WRL,2020-04-02,83027,5892
World,OWID_WRL,2020-04-03,84229,6178
World,OWID_WRL,2020-04-04,59094,5980
World,OWID_WRL,2020-04-05,70856,5243
World,OWID_WRL,2020-04-06,73910,5935
World,OWID_WRL,2020-04-07,69606,8311
World,OWID_WRL,2020-04-08,83321,6829
World,OWID_WRL,2020-04-09,87007,7868
World,OWID_WRL,2020-04-10,85287,7417
World,OWID_WRL,2020-04-11,74390,6286
World,OWID_WRL,2020-04-12,119572,5940
World,OWID_WRL,2020-04-13,71053,6019
World,OWID_WRL,2020-04-14,83907,7105
World,OWID_WRL,2020-04-15,78221,8544
World,OWID_WRL,2020-04-16,95686,7419
World,OWID_WRL,2020-04-17,88038,8501
World,OWID_WRL,2020-04-18,77172,6202
World,OWID_WRL,2020-04-19,76775,5351
World,OWID_WRL,2020-04-20,75549,6048
World,OWID_WRL,2020-04-21,76056,7402
World,OWID_WRL,2020-04-22,81382,7027
World,OWID_WRL,2020-04-23,83998,6998
