date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-13,Massachusetts,217443.0,656850.0,192619.0,0.36,3.15,24789.0,2.79,9.53,13361.0,13361.0,1938.0,0.331
2021-01-15,Massachusetts,257175.0,669325.0,222109.0,0.51,3.73,34885.0,3.22,9.71,23699.0,17698.0,2568.0,0.384
2021-01-20,Massachusetts,330490.0,737550.0,288209.0,0.61,4.79,42062.0,4.18,10.7,11613.0,16150.0,2343.0,0.448
2021-01-21,Massachusetts,353117.0,776400.0,306646.0,0.67,5.12,46247.0,4.45,11.26,22627.0,17092.0,2480.0,0.455
2021-01-22,Massachusetts,370627.0,854950.0,318630.0,0.75,5.38,51662.0,4.62,12.4,17510.0,16207.0,2351.0,0.434
2021-01-23,Massachusetts,392967.0,859175.0,334514.0,0.84,5.7,57869.0,4.85,12.47,22340.0,17195.0,2495.0,0.457
2021-01-24,Massachusetts,419806.0,859175.0,356102.0,0.92,6.09,63096.0,5.17,12.47,26839.0,18826.0,2731.0,0.489
2021-01-25,Massachusetts,433615.0,859175.0,368358.0,0.94,6.29,64648.0,5.34,12.47,13809.0,18595.0,2698.0,0.505
2021-01-26,Massachusetts,442703.0,875825.0,376313.0,0.95,6.42,65761.0,5.46,12.71,9088.0,17689.0,2566.0,0.505
2021-01-27,Massachusetts,464275.0,956800.0,390470.0,1.06,6.74,73152.0,5.67,13.88,21572.0,19112.0,2773.0,0.485
2021-01-28,Massachusetts,490332.0,1018975.0,406024.0,1.21,7.11,83637.0,5.89,14.78,26057.0,19602.0,2844.0,0.481
2021-01-29,Massachusetts,520504.0,1057000.0,422803.0,1.4,7.55,96373.0,6.13,15.34,30172.0,21411.0,3106.0,0.492
2021-01-30,Massachusetts,547082.0,1060900.0,438852.0,1.55,7.94,106799.0,6.37,15.39,26578.0,22016.0,3194.0,0.516
2021-01-31,Massachusetts,579181.0,1060900.0,461408.0,1.69,8.4,116315.0,6.69,15.39,32099.0,22768.0,3303.0,0.546
2021-02-01,Massachusetts,608947.0,1060900.0,484829.0,1.78,8.83,122652.0,7.03,15.39,29766.0,25047.0,3634.0,0.574
2021-02-02,Massachusetts,625477.0,1039775.0,497445.0,1.84,9.07,126560.0,7.22,15.09,16530.0,26111.0,3788.0,0.602
2021-02-03,Massachusetts,625477.0,1156375.0,497445.0,1.84,9.07,126560.0,7.22,16.78,0.0,23029.0,3341.0,0.541
2021-02-04,Massachusetts,652929.0,1229075.0,517135.0,1.95,9.47,134311.0,7.5,17.83,27452.0,23228.0,3370.0,0.531
2021-02-05,Massachusetts,685074.0,1247600.0,539877.0,2.08,9.94,143690.0,7.83,18.1,32145.0,23510.0,3411.0,0.549
2021-02-06,Massachusetts,727120.0,1247600.0,571853.0,2.23,10.55,153692.0,8.3,18.1,42046.0,25720.0,3732.0,0.583
2021-02-07,Massachusetts,780268.0,1247600.0,609483.0,2.45,11.32,169148.0,8.84,18.1,53148.0,28727.0,4168.0,0.625
2021-02-08,Massachusetts,806376.0,1247600.0,630154.0,2.53,11.7,174437.0,9.14,18.1,26108.0,28204.0,4092.0,0.646
2021-02-09,Massachusetts,832242.0,1273975.0,649131.0,2.63,12.07,181280.0,9.42,18.48,25866.0,29538.0,4286.0,0.653
2021-02-10,Massachusetts,883945.0,1393725.0,687093.0,2.83,12.82,194968.0,9.97,20.22,51703.0,36924.0,5357.0,0.634
2021-02-11,Massachusetts,924612.0,1445425.0,715308.0,3.01,13.41,207392.0,10.38,20.97,40667.0,38812.0,5631.0,0.64
2021-02-12,Massachusetts,962711.0,1499450.0,741746.0,3.17,13.97,218795.0,10.76,21.75,38099.0,39662.0,5754.0,0.642
2021-02-13,Massachusetts,1009560.0,1502725.0,771430.0,3.42,14.65,235910.0,11.19,21.8,46849.0,40349.0,5854.0,0.672
2021-02-14,Massachusetts,1085584.0,1502925.0,823429.0,3.77,15.75,259760.0,11.95,21.81,76024.0,43617.0,6328.0,0.722
2021-02-17,Massachusetts,1170398.0,1526150.0,879627.0,4.18,16.98,288309.0,12.76,22.14,23538.0,40922.0,5937.0,0.767
2021-02-18,Massachusetts,1214821.0,1526150.0,912258.0,4.35,17.63,299871.0,13.24,22.14,44423.0,41458.0,6015.0,0.796
2021-02-19,Massachusetts,1316402.0,1580500.0,987512.0,4.73,19.1,326108.0,14.33,22.93,101581.0,50527.0,7331.0,0.833
2021-02-20,Massachusetts,1375439.0,1737170.0,1028490.0,4.99,19.96,343624.0,14.92,25.2,59037.0,52268.0,7583.0,0.792
2021-02-21,Massachusetts,1426512.0,1737170.0,1054948.0,5.33,20.7,367709.0,15.31,25.2,51073.0,48704.0,7066.0,0.821
2021-02-22,Massachusetts,1468992.0,1737170.0,1070869.0,5.54,21.31,382100.0,15.54,25.2,42480.0,50396.0,7312.0,0.846
2021-02-23,Massachusetts,1500077.0,1747380.0,1090809.0,5.7,21.76,392631.0,15.83,25.35,31085.0,50460.0,7321.0,0.858
2021-02-24,Massachusetts,1533534.0,1982950.0,1108977.0,5.91,22.25,407380.0,16.09,28.77,33457.0,51877.0,7527.0,0.773
2021-02-25,Massachusetts,1576657.0,2025060.0,1133903.0,6.16,22.87,424922.0,16.45,29.38,43123.0,51691.0,7500.0,0.779
2021-02-26,Massachusetts,1625459.0,2068660.0,1162144.0,6.46,23.58,445006.0,16.86,30.01,48802.0,44151.0,6406.0,0.786
2021-02-27,Massachusetts,1684341.0,2091730.0,1194345.0,6.84,24.44,471242.0,17.33,30.35,58882.0,44129.0,6402.0,0.805
2021-02-28,Massachusetts,1735916.0,2091730.0,1220455.0,7.2,25.19,496356.0,17.71,30.35,51575.0,44201.0,6413.0,0.83
2021-03-01,Massachusetts,1803528.0,2091730.0,1260542.0,7.59,26.17,523119.0,18.29,30.35,67612.0,47791.0,6934.0,0.862
2021-03-02,Massachusetts,1837816.0,2115560.0,1278555.0,7.82,26.66,538986.0,18.55,30.69,34288.0,48248.0,7000.0,0.869
2021-03-03,Massachusetts,1884139.0,2296020.0,1306343.0,8.08,27.34,557064.0,18.95,33.31,46323.0,50086.0,7267.0,0.821
2021-03-04,Massachusetts,1941018.0,2381160.0,1341520.0,8.39,28.16,578386.0,19.46,34.55,56879.0,52052.0,7552.0,0.815
2021-03-05,Massachusetts,2005708.0,2476070.0,1379021.0,8.78,29.1,605400.0,20.01,35.92,64690.0,54321.0,7881.0,0.81
2021-03-06,Massachusetts,2082052.0,2497130.0,1423801.0,9.24,30.21,636626.0,20.66,36.23,76344.0,56816.0,8243.0,0.834
2021-03-07,Massachusetts,2148356.0,2497130.0,1463301.0,9.62,31.17,663148.0,21.23,36.23,66304.0,58920.0,8548.0,0.86
2021-03-08,Massachusetts,2199086.0,2497130.0,1493343.0,10.08,31.91,695094.0,21.67,36.23,50730.0,56508.0,8198.0,0.881
2021-03-09,Massachusetts,2226167.0,2657570.0,1510698.0,10.26,32.3,706965.0,21.92,38.56,27081.0,55479.0,8049.0,0.838
2021-03-10,Massachusetts,2313916.0,2724620.0,1567359.0,10.87,33.57,749328.0,22.74,39.53,87749.0,61397.0,8908.0,0.849
2021-03-11,Massachusetts,2376322.0,2859820.0,1608665.0,11.26,34.48,776259.0,23.34,41.49,62406.0,62186.0,9022.0,0.831
2021-03-12,Massachusetts,2443419.0,2861490.0,1650762.0,11.77,35.45,811452.0,23.95,41.52,67097.0,62530.0,9072.0,0.854
2021-03-13,Massachusetts,2561749.0,2891100.0,1717752.0,12.68,37.17,874031.0,24.92,41.95,118330.0,68528.0,9942.0,0.886
2021-03-14,Massachusetts,2561749.0,2891100.0,1718071.0,12.68,37.17,874199.0,24.93,41.95,0.0,59056.0,8568.0,0.886
2021-03-15,Massachusetts,2620671.0,2891100.0,1751693.0,13.13,38.02,904685.0,25.41,41.95,58922.0,60226.0,8738.0,0.906
2021-03-16,Massachusetts,2633498.0,3069880.0,1759203.0,13.22,38.21,911506.0,25.52,44.54,12827.0,58190.0,8443.0,0.858
2021-03-17,Massachusetts,2710203.0,3159090.0,1805897.0,13.68,39.32,942557.0,26.2,45.83,76705.0,56612.0,8214.0,0.858
2021-03-18,Massachusetts,2773542.0,3270160.0,1845302.0,14.06,40.24,969041.0,26.77,47.45,63339.0,56746.0,8233.0,0.848
2021-03-19,Massachusetts,2837941.0,3314010.0,1886403.0,14.43,41.17,994623.0,27.37,48.08,64399.0,56360.0,8177.0,0.856
2021-03-20,Massachusetts,2909219.0,3321910.0,1932142.0,14.82,42.21,1021600.0,28.03,48.2,71278.0,49639.0,7202.0,0.876
2021-03-21,Massachusetts,2972826.0,3321910.0,1973933.0,15.16,43.13,1044985.0,28.64,48.2,63607.0,58725.0,8520.0,0.895
2021-03-22,Massachusetts,3032996.0,3321910.0,2008501.0,15.51,44.0,1069066.0,29.14,48.2,60170.0,58904.0,8546.0,0.913
2021-03-23,Massachusetts,3066115.0,3490490.0,2026414.0,15.74,44.48,1084737.0,29.4,50.64,33119.0,61802.0,8967.0,0.878
2021-03-24,Massachusetts,3131419.0,3557950.0,2067842.0,16.11,45.43,1110288.0,30.0,51.62,65304.0,60174.0,8730.0,0.88
2021-03-25,Massachusetts,3196050.0,3773250.0,2107488.0,16.5,46.37,1137413.0,30.58,54.74,64631.0,60358.0,8757.0,0.847
2021-03-26,Massachusetts,3270796.0,3846570.0,2154775.0,16.93,47.45,1166923.0,31.26,55.81,74746.0,61836.0,8971.0,0.85
2021-03-27,Massachusetts,3345239.0,3848770.0,2200864.0,17.37,48.53,1196939.0,31.93,55.84,74443.0,62289.0,9037.0,0.869
2021-03-28,Massachusetts,3424253.0,3848770.0,2251089.0,17.81,49.68,1227553.0,32.66,55.84,79014.0,64490.0,9357.0,0.89
2021-03-29,Massachusetts,3495331.0,3848770.0,2293964.0,18.23,50.71,1256616.0,33.28,55.84,71078.0,66048.0,9583.0,0.908
2021-03-30,Massachusetts,3535818.0,4117900.0,2316988.0,18.5,51.3,1275456.0,33.62,59.74,40487.0,67100.0,9735.0,0.859
2021-03-31,Massachusetts,3611067.0,4270280.0,2362261.0,18.96,52.39,1307031.0,34.27,61.96,75249.0,68521.0,9941.0,0.846
2021-04-01,Massachusetts,3685186.0,4396850.0,2404819.0,19.46,53.47,1341408.0,34.89,63.79,74119.0,69877.0,10138.0,0.838
2021-04-02,Massachusetts,3771380.0,4461100.0,2458457.0,19.98,54.72,1377011.0,35.67,64.72,86194.0,71512.0,10375.0,0.845
2021-04-03,Massachusetts,3868668.0,4604300.0,2519546.0,20.55,56.13,1416618.0,36.55,66.8,97288.0,74776.0,10849.0,0.84
2021-04-04,Massachusetts,3968332.0,4604300.0,2581225.0,21.15,57.57,1458104.0,37.45,66.8,99664.0,77726.0,11277.0,0.862
2021-04-05,Massachusetts,4041785.0,4604300.0,2628913.0,21.58,58.64,1487084.0,38.14,66.8,73453.0,78065.0,11326.0,0.878
2021-04-06,Massachusetts,4079774.0,4891900.0,2654349.0,21.77,59.19,1500461.0,38.51,70.97,37989.0,77708.0,11274.0,0.834
2021-04-07,Massachusetts,4161913.0,5001550.0,2700986.0,22.32,60.38,1538460.0,39.19,72.57,82139.0,78692.0,11417.0,0.832
